aad	xaa1 xas
aanpappen	xaa1 xam xap xbg0 xap xbj0 xan
aanpasbaar	xaa1 xan xap xbg0 xar xab xaa0 xaq
aanpassen	xaa1 xam xap xbg0 xar xbj0 xan
aanpassing	xaa1 xam xap xbg0 xar xbo0 xbd
aanpassingsvermogen	xaa1 xan xap xbg0 xar xbo0 xbd xar xae xbj0 xaq xam xao0 xbn xbj0 xan
aanplakbiljet	xaa1 xan xap xal xbg0 xak xab xbo0 xal xaj xbk0 xas
aanplakken	xaa1 xan xap xal xbg0 xak xbj0 xan
aanplakzuil	xaa1 xan xap xal xbg0 xak xar xbe0 xba xal
aanplanten	xaa1 xam xap xal xbg0 xan xas xbj0 xan
aanplanting	xaa1 xam xap xal xbg0 xan xas xbo0 xbd
aanpraten	xaa1 xam xap xaq xaa0 xas xbj0 xan
aanprijsbaar	xaa1 xan xap xaq xbk0 xai xar xab xaa0 xaq
aanprijzen	xaa1 xam xap xaq xbk0 xai xbb xbj0 xan
aanraadbaar	xaa1 xan xaq xaa0 xas xab xaa0 xaq
aanraakbaar	xaa1 xan xaq xaa0 xak xab xaa0 xaq
aanraakscherm	xaa1 xan xaq xaa0 xak xar xax xbk0 xaq xam
aanraden	xaa1 xan xaq xaa0 xac xbj0 xan
aanrader	xaa1 xan xaq xaa0 xac xbj0 xaq
aanraken	xaa1 xan xaq xaa0 xak xbj0 xan
aanraking	xaa1 xan xaq xaa0 xak xbo0 xbd
aanranden	xaa1 xan xaq xbg0 xan xac xbj0 xan
aanrander	xaa1 xan xaq xbg0 xan xac xbj0 xaq
aanranding	xaa1 xan xaq xbg0 xan xac xbo0 xbd
aanrandster	xaa1 xan xaq xbg0 xan xas xar xas xbj0 xaq
aanrecht	xaa1 xan xaq xbk0 xax xas
aanrechtbank	xaa1 xan xaq xbk0 xax xas xab xbg0 xbd xak
aanrechtblad	xaa1 xan xaq xbk0 xax xas xab xal xbg0 xas
aanrechten	xaa1 xan xaq xbk0 xax xas xbj0 xan
aanrechtsubsidie	xaa1 xan xaq xbk0 xax xas xar xbr0 xap xar xag0 xac xag0
aanreiken	xaa1 xan xaq xbk0 xai xak xbj0 xan
aanrekenen	xaa1 xan xaq xad0 xak xbj0 xan xbj0 xan
aanrennen	xaa1 xan xaq xbk0 xan xbj0 xan
aanrichten	xaa1 xan xaq xbo0 xax xas xbj0 xan
aanrichter	xaa1 xan xaq xbo0 xax xas xbj0 xaq
aanrichting	xaa1 xan xaq xbo0 xax xas xbo0 xbd
aanrijden	xaa1 xan xaq xbk0 xai xac xbj0 xan
aanrijding	xaa1 xan xaq xbk0 xai xac xbo0 xbd
aanrit	xaa1 xan xaq xbo0 xas
aanritsbaar	xaa1 xan xaq xbo0 xas xar xab xaa0 xaq
aanritsgeld	xaa1 xan xaq xbo0 xas xar xax xbk0 xal xas
aanroep	xaa1 xan xaq xat0 xap
aanroepbaar	xaa1 xan xaq xat0 xap xab xaa0 xaq
aanroepen	xaa1 xan xaq xat0 xap xbj0 xan
aanroeren	xaa1 xan xaq xat0 xaq xbj0 xan
aanschaf	xaa1 xan xar xax xbg0 xae
aanschafbaar	xaa1 xan xar xax xbg0 xae xab xaa0 xaq
aanschaffen	xaa1 xan xar xax xbg0 xae xbj0 xan
aanschafprijs	xaa1 xan xar xax xbg0 xae xap xaq xbk0 xai xar
aanschakelen	xaa1 xan xar xax xaa0 xak xbj0 xal xbj0 xan
aanschellen	xaa1 xan xar xax xbk0 xal xbj0 xan
aanscherpen	xaa1 xan xar xax xbk0 xaq xap xbj0 xan
aanscherping	xaa1 xan xar xax xbk0 xaq xap xbo0 xbd
aanschieten	xaa1 xan xar xax xag0 xas xbj0 xan
aanschouw	xaa1 xan xar xax xbg0 xav
aanschouwbaar	xaa1 xan xar xax xbg0 xav xab xaa0 xaq
aanschouwd	xaa1 xan xar xax xbg0 xav xas
aanschouwelijk	xaa1 xan xar xax xbg0 xav xbj0 xal xbj0 xak
aanschouwen	xaa1 xan xar xax xbg0 xav xbj0 xan
aanschouwend	xaa1 xan xar xax xbg0 xav xbq xbj0 xan xas
aanschrappen	xaa1 xan xar xax xaq xbg0 xap xbj0 xan
aanschreeuwen	xaa1 xan xar xax xaq xad0 xav xbj0 xan
aanschrijfbaar	xaa1 xan xar xax xaq xbk0 xai xae xab xaa0 xaq
aanschrijven	xaa1 xan xar xax xaq xbk0 xai xaw xbj0 xan
aanschroeven	xaa1 xan xar xax xaq xat0 xaw xbj0 xan
aanschudden	xaa1 xan xar xax xbr0 xac xbj0 xan
aanschuiven	xaa1 xan xar xax xbe0 xba xaw xbj0 xan
aanslaan	xaa1 xan xar xal xaa0 xan
aanslag	xaa1 xan xar xal xbg0 xax
aanslijken	xaa1 xan xar xal xbk0 xai xak xbj0 xan
aanslingeren	xaa1 xan xar xal xbo0 xbd xbj0 xaq xbj0 xan
aansluitbaar	xaa1 xan xar xal xbe0 xba xas xab xaa0 xaq
aansluitbaarheid	xaa1 xan xar xal xbe0 xba xac xab xaa0 xaq xaf xbk0 xai xas
aansluiten	xaa1 xan xar xal xbe0 xba xas xbj0 xan
aansluitend	xaa1 xan xar xal xbe0 xba xas xbj0 xan xas
aansluiting	xaa1 xan xar xal xbe0 xba xas xbo0 xbd
aansmeden	xaa1 xan xar xam xad0 xac xbj0 xan
aansmelten	xaa1 xan xar xam xbk0 xal xas xbj0 xan
aansmeren	xaa1 xan xar xam xad0 xaq xbj0 xan
aansnellen	xaa1 xan xar xan xbk0 xal xbj0 xan
aansnijden	xaa1 xan xar xan xbk0 xai xac xbj0 xan
aanspannen	xaa1 xan xar xap xbg0 xan xbj0 xan
aanspeelbaar	xaa1 xan xar xap xad0 xal xab xaa0 xaq
aanspelden	xaa1 xan xar xap xbk0 xal xac xbj0 xan
aanspelen	xaa1 xan xar xap xad0 xal xbj0 xan
aanspeling	xaa1 xan xar xap xad0 xal xbo0 xbd
aanspijkeren	xaa1 xan xar xap xbk0 xai xak xbj0 xaq xbj0 xan
aanspinnen	xaa1 xan xar xap xbo0 xan xbj0 xan
aanspoelen	xaa1 xan xar xap xat0 xal xbj0 xan
aansporen	xaa1 xan xar xap xao0 xaq xbj0 xan
aansporing	xaa1 xan xar xap xao0 xaq xbo0 xbd
aanspraak	xaa1 xan xar xap xaq xaa0 xak
aansprakelijk	xaa1 xan xar xap xaq xaa0 xak xbj0 xal xbj0 xak
aansprakelijkheid	xaa1 xan xar xap xaq xaa0 xak xbj0 xal xbj0 xak xaf xbk0 xai xas
aansprakelijkheidsverzekering	xaa1 xan xar xap xaq xaa0 xak xbj0 xal xbj0 xak xaf xbk0 xai xas xar xaw xbj0 xaq xbb xad0 xak xbj0 xaq xbo0 xbd
aanspreekbaar	xaa1 xan xar xap xaq xad0 xak xab xaa0 xaq
aanspreekvorm	xaa1 xan xar xap xaq xad0 xak xae xbh0 xaq xam
aanspreken	xaa1 xan xar xap xaq xad0 xak xbj0 xan
aanstaan	xaa1 xan xar xas xaa0 xan
aanstaand	xaa1 xan xar xas xaa0 xan xas
aanstaande	xaa1 xan xar xas xaa0 xan xac xbj0
aanstalten	xaa1 xan xar xas xbg0 xal xas xbj0 xan
aanstampen	xaa1 xan xar xas xbg0 xam xap xbj0 xan
aanstaren	xaa1 xan xar xas xaa0 xaq xbj0 xan
aanstekelijk	xaa1 xan xar xas xad0 xak xbj0 xal xbj0 xak
aanstekelijkheid	xaa1 xan xar xas xad0 xak xbj0 xal xbj0 xak xaf xbk0 xai xas
aansteken	xaa1 xan xar xas xad0 xak xbj0 xan
aansteker	xaa1 xan xar xas xad0 xak xbj0 xaq
aansteking	xaa1 xan xar xas xad0 xak xbo0 xbd
aanstelbaar	xaa1 xan xar xas xbk0 xal xab xaa0 xaq
aanstellen	xaa1 xan xar xas xbk0 xal xbj0 xan
aanstellerij	xaa1 xan xar xas xbk0 xal xbj0 xaq xbk0 xai
aanstelleritis	xaa1 xan xar xas xbk0 xal xbj0 xaq xag0 xas xbj0 xar
aanstelling	xaa1 xan xar xas xbk0 xal xbo0 xbd
aansterven	xaa1 xan xar xas xbk0 xaq xaw xbj0 xan
aanstipbaar	xaa1 xan xar xas xbo0 xap xab xaa0 xaq
aanstippen	xaa1 xan xar xas xbo0 xap xbj0 xan
aanstoffen	xaa1 xan xar xas xbh0 xae xbj0 xan
aanstoken	xaa1 xan xar xas xao0 xak xbj0 xan
aanstond	xaa1 xan xar xas xbh0 xan xas
aanstonds	xaa1 xan xar xas xbh0 xan xas xar
aanstoot	xaa1 xan xar xas xao0 xas
aanstootgevend	xaa1 xan xar xas xao0 xas xax xad0 xaw xbj0 xan xas
aanstormen	xaa1 xan xar xas xbh0 xaq xam xbj0 xan
aanstotelijk	xaa1 xan xar xas xao0 xas xbj0 xal xbj0 xak
aanstoten	xaa1 xan xar xas xao0 xas xbj0 xan
aanstreepbaar	xaa1 xan xar xas xaq xad0 xap xab xaa0 xaq
aanstrepen	xaa1 xan xar xas xaq xad0 xap xbj0 xan
aanstrikken	xaa1 xan xar xas xaq xbo0 xak xbj0 xan
aanstrompelen	xaa1 xan xar xas xaq xbh0 xam xap xbj0 xal xbj0 xan
aansturen	xaa1 xan xar xas xay0 xaq xbj0 xan
aansturing	xaa1 xan xar xas xay0 xaq xbo0 xbd
aanstuurbaar	xaa1 xan xar xas xaz0 xaq xab xaa0 xaq
aansullen	xaa1 xan xar xbr0 xal xbj0 xan
aantaal	xaa1 xan xas xaa0 xal
aantal	xaa1 xan xas xbg0 xal
aantalen	xaa1 xan xas xaa0 xal xbj0 xan
aantastbaar	xaa1 xan xas xbg0 xar xas xab xaa0 xaq
aantasten	xaa1 xan xas xbg0 xar xas xbj0 xan
aantekenaar	xaa1 xan xas xad0 xak xbj0 xan xaa0 xaq
aantekenboek	xaa1 xan xas xad0 xak xbj0 xan xab xat0 xak
aantekenen	xaa1 xan xas xad0 xak xbj0 xan xbj0 xan
aantekening	xaa1 xan xas xad0 xak xbj0 xan xbo0 xbd
aantekeningenboek	xaa1 xan xas xad0 xak xbj0 xan xbo0 xbd xbj0 xan xab xat0 xak
aantijgen	xaa1 xan xas xbk0 xai xbn xbj0 xan
aantijging	xaa1 xan xas xbk0 xai xbn xbo0 xbd
aantillen	xaa1 xan xas xbo0 xal xbj0 xan
aantocht	xaa1 xan xas xbh0 xax xas
aantokkelen	xaa1 xan xas xbh0 xak xbj0 xal xbj0 xan
aantonen	xaa1 xan xas xao0 xan xbj0 xan
aantoonbaar	xaa1 xan xas xao0 xan xab xaa0 xaq
aantreden	xaa1 xan xas xaq xad0 xac xbj0 xan
aantreffen	xaa1 xan xas xaq xbk0 xae xbj0 xan
aantrekbaar	xaa1 xan xas xaq xbk0 xak xab xaa0 xaq
aantrekkelijk	xaa1 xan xas xaq xbk0 xak xbj0 xal xbj0 xak
aantrekkelijkheid	xaa1 xan xas xaq xbk0 xak xbj0 xal xbj0 xak xaf xbk0 xai xas
aantrekken	xaa1 xan xas xaq xbk0 xak xbj0 xan
aantrekking	xaa1 xan xas xaq xbk0 xak xbo0 xbd
aantrekkingskracht	xaa1 xan xas xaq xbk0 xak xbo0 xbd xar xak xaq xbg0 xax xas
aanvaardbaar	xaa1 xan xaw xaa0 xaq xas xab xaa0 xaq
aanvaarden	xaa1 xan xaw xaa0 xaq xac xbj0 xan
aanvaarding	xaa1 xan xaw xaa0 xaq xac xbo0 xbd
aanval	xaa1 xan xaw xbg0 xal
aanvallen	xaa1 xan xaw xbg0 xal xbj0 xan
aanvallend	xaa1 xan xaw xbg0 xal xbj0 xan xas
aanvaller	xaa1 xan xaw xbg0 xal xbj0 xaq
aanvallig	xaa1 xan xaw xbg0 xal xbj0 xax
aanvalling	xaa1 xan xaw xbg0 xal xbo0 xbd
aanvalsdrone	xaa1 xan xaw xbg0 xal xar xac xaq xao0 xan
aanvalsgeweer	xaa1 xan xaw xbg0 xal xar xax xbj0 xbq xad0 xaq
aanvalskracht	xaa1 xan xaw xbg0 xal xar xak xaq xbg0 xax xas
aanvalsoorlog	xaa1 xan xaw xbg0 xal xar xao0 xaq xal xbh0 xax
aanvalsplan	xaa1 xan xaw xbg0 xal xar xap xal xbg0 xan
aanvalsvlag	xaa1 xan xaw xbg0 xal xar xae xal xbg0 xax
aanvang	xaa1 xan xaw xbg0 xbd
aanvangen	xaa1 xan xaw xbg0 xbd xbj0 xan
aanvankelijk	xaa1 xan xaw xbg0 xbd xak xbj0 xal xbj0 xak
aanvaren	xaa1 xan xaw xaa0 xaq xbj0 xan
aanvaring	xaa1 xan xaw xaa0 xaq xbo0 xbd
aanvatten	xaa1 xan xaw xbg0 xas xbj0 xan
aanvechtbaar	xaa1 xan xaw xbk0 xax xas xab xaa0 xaq
aanvechten	xaa1 xan xaw xbk0 xax xas xbj0 xan
aanversterven	xaa1 xan xaw xbj0 xaq xar xas xbk0 xaq xaw xbj0 xan
aanvertrouwen	xaa1 xan xaw xbj0 xaq xas xaq xbg0 xav xbj0 xan
aanverwant	xaa1 xan xaw xbj0 xaq xbq xbg0 xan xas
aanvinken	xaa1 xan xaw xbo0 xbd xak xbj0 xan
aanvliegbaar	xaa1 xan xaw xal xag0 xax xab xaa0 xaq
aanvliegen	xaa1 xan xaw xal xag0 xbn xbj0 xan
aanvoeden	xaa1 xan xaw xat0 xac xbj0 xan
aanvoegen	xaa1 xan xaw xat0 xbn xbj0 xan
aanvoegend	xaa1 xan xaw xat0 xbn xbj0 xan xas
aanvoelbaar	xaa1 xan xaw xat0 xal xab xaa0 xaq
aanvoelen	xaa1 xan xaw xat0 xal xbj0 xan
aanvoelt	xaa1 xan xaw xat0 xal xas
aanvoer	xaa1 xan xaw xat0 xaq
aanvoerbaar	xaa1 xan xaw xau0 xaq xab xaa0 xaq
aanvoerder	xaa1 xan xaw xat0 xaq xac xbj0 xaq
aanvoeren	xaa1 xan xaw xat0 xaq xbj0 xan
aanvoerlijn	xaa1 xan xaw xat0 xaq xal xbk0 xai xan
aanvoerster	xaa1 xan xaw xat0 xaq xar xas xbj0 xaq
aanvraag	xaa1 xan xaw xaq xaa0 xax
aanvragen	xaa1 xan xaw xaq xaa0 xbn xbj0 xan
aanvreten	xaa1 xan xaw xaq xad0 xas xbj0 xan
aanvullen	xaa1 xan xaw xbr0 xal xbj0 xan
aanvulling	xaa1 xan xaw xbr0 xal xbo0 xbd
aanvuren	xaa1 xan xaw xaz0 xaq xbj0 xan
aanwaaien	xaa1 xan xbq xaa0 xai xbj0 xan
aanwakkeren	xaa1 xan xbq xbg0 xak xbj0 xaq xbj0 xan
aanwas	xaa1 xan xbq xbg0 xar
aanwassen	xaa1 xan xbq xbg0 xar xbj0 xan
aanwendbaar	xaa1 xan xbq xbk0 xan xas xab xaa0 xaq
aanwenden	xaa1 xan xbq xbk0 xan xac xbj0 xan
aanwerken	xaa1 xan xbq xbk0 xaq xak xbj0 xan
aanwerpen	xaa1 xan xbq xbk0 xaq xap xbj0 xan
aanwerven	xaa1 xan xbq xbk0 xaq xaw xbj0 xan
aanweven	xaa1 xan xbq xad0 xaw xbj0 xan
aanwezen	xaa1 xan xbq xad0 xbb xbj0 xan
aanwezig	xaa1 xan xbq xad0 xbb xbj0 xax
aanwezige	xaa1 xan xbq xad0 xbb xbj0 xbn xbj0
aanwezigheid	xaa1 xan xbq xad0 xbb xbj0 xax xaf xbk0 xai xas
aanwijsapparaat	xaa1 xan xbq xbk0 xai xar xbg0 xap xaa0 xaq xaa0 xas
aanwijsbaar	xaa1 xan xbq xbk0 xai xar xab xaa0 xaq
aanwijzen	xaa1 xan xbq xbk0 xai xbb xbj0 xan
aanwijzer	xaa1 xan xbq xbk0 xai xbb xbj0 xaq
aanwijzing	xaa1 xan xbq xbk0 xai xbb xbo0 xbd
aanwijzingsbord	xaa1 xan xbq xbk0 xai xbb xbo0 xbd xar xab xbh0 xaq xas
aanwinnen	xaa1 xan xbq xbo0 xan xbj0 xan
aanwinst	xaa1 xan xbq xbo0 xan xar xas
aanwoekeren	xaa1 xan xbq xat0 xak xbj0 xaq xbj0 xan
aanwortelen	xaa1 xan xbq xbh0 xaq xas xbj0 xal xbj0 xan
aanwrijven	xaa1 xan xaw xaq xbk0 xai xaw xbj0 xan
aanzaaien	xaa1 xan xbb xaa0 xaj xbj0 xan
aanzanden	xaa1 xan xbb xbg0 xan xac xbj0 xan
aanzeggen	xaa1 xan xbb xbk0 xbn xbj0 xan
aanzegger	xaa1 xan xbb xbk0 xbn xbj0 xaq
aanzeilen	xaa1 xan xbb xbk0 xai xal xbj0 xan
aanzetten	xaa1 xan xbb xbk0 xas xbj0 xan
aanzicht	xaa1 xan xbb xbo0 xax xas
aanzien	xaa1 xan xbb xag0 xan
aanzienbaar	xaa1 xan xbb xag0 xan xab xaa0 xaq
aanzienlijk	xaa1 xan xbb xag0 xan xal xbj0 xak
aanzijn	xaa1 xan xbb xbk0 xai xan
aanzitten	xaa1 xan xbb xbo0 xas xbj0 xan
aanzoek	xaa1 xan xbb xat0 xak
aanzoeten	xaa1 xan xbb xat0 xas xbj0 xan
aanzouten	xaa1 xan xbb xbg0 xav xas xbj0 xan
aanzuren	xaa1 xan xbb xaz0 xaq xbj0 xan
aanzwellen	xaa1 xan xbb xbq xbk0 xal xbj0 xan
aanzwemmen	xaa1 xan xbb xbq xbk0 xam xbj0 xan
aap	xaa1 xap
aapachtig	xaa1 xap xbg0 xax xas xbj0 xax
aapje	xaa1 xap xaj xbj0
aapmens	xaa1 xap xam xbk0 xan xar
aar	xaa1 xaq
aard	xaa1 xaq xas
aardachtig	xaa1 xaq xas xbg0 xax xas xbj0 xax
aardaker	xaa1 xaq xas xaa0 xak xbj0 xaq
aardappel	xaa1 xaq xac xbg0 xap xbj0 xal
aardappeloogst	xaa1 xaq xac xbg0 xap xbj0 xal xao0 xax xar xas
aardappelpuree	xaa1 xaq xac xbg0 xap xbj0 xal xap xay0 xaq xad0
aardappelsalade	xaa1 xaq xac xbg0 xap xbj0 xal xar xaa0 xal xaa0 xac xbj0
aardappelveld	xaa1 xaq xac xbg0 xap xbj0 xal xaw xbk0 xal xas
aardas	xaa1 xaq xas xbg0 xar
aardbaan	xaa1 xaq xas xab xaa0 xan
aardbei	xaa1 xaq xas xab xbk0 xai
aardbeiboom	xaa1 xaq xas xab xbk0 xai xab xao0 xam
aardbeienjam	xaa1 xaq xas xab xbk0 xai xbj0 xan xbs xbk0 xam
aardbeienmelk	xaa1 xaq xas xab xbk0 xai xbj0 xan xam xbk0 xal xak
aardbeienplant	xaa1 xaq xas xab xbk0 xai xbj0 xan xap xal xbg0 xan xas
aardbeientaart	xaa1 xaq xas xab xbk0 xai xbj0 xan xas xaa0 xaq xas
aardbeienyoghurt	xaa1 xaq xas xab xbk0 xai xbj0 xan xaj xat0 xbn xat0 xaq xas
aardbeispinazie	xaa1 xaq xas xab xbk0 xai xar xap xag0 xan xaa0 xbb xag0
aardbeivlinder	xaa1 xaq xas xab xbk0 xai xaw xal xbo0 xan xac xbj0 xaq
aardbeving	xaa1 xaq xas xab xad0 xaw xbo0 xbd
aardbevingshaard	xaa1 xaq xas xab xad0 xaw xbo0 xbd xar xaf xaa0 xaq xas
aardbevingsschade	xaa1 xaq xas xab xad0 xaw xbo0 xbd xar xax xaa0 xac xbj0
aardbodem	xaa1 xaq xas xab xao0 xac xbj0 xam
aardbol	xaa1 xaq xas xab xbh0 xal
aarde	xaa1 xaq xac xbj0
aardebaan	xaa1 xaq xac xbj0 xab xaa0 xan
aardedonker	xaa1 xaq xac xbj0 xac xbh0 xbd xak xbj0 xaq
aarden	xaa1 xaq xac xbj0 xan
aardes	xaa1 xaq xac xbj0 xar
aardewerk	xaa1 xaq xac xbj0 xbq xbk0 xaq xak
aardewerken	xaa1 xaq xac xbj0 xbq xbk0 xaq xak xbj0 xan
aardgas	xaa1 xaq xas xax xbg0 xar
aardgebonden	xaa1 xaq xas xax xbj0 xab xbh0 xan xac xbj0 xan
aardgewas	xaa1 xaq xas xax xbj0 xbq xbg0 xar
aardgordel	xaa1 xaq xas xax xbh0 xaq xac xbj0 xal
aardhoop	xaa1 xaq xas xaf xao0 xap
aardig	xaa1 xaq xac xbj0 xax
aardiger	xaa1 xaq xac xbj0 xbn xbj0 xaq
aardigheid	xaa1 xaq xac xbj0 xax xaf xbk0 xai xas
aardigste	xaa1 xaq xac xbj0 xax xar xas xbj0
aarding	xaa1 xaq xac xbo0 xbd
aardkloot	xaa1 xaq xas xak xal xao0 xas
aardkorst	xaa1 xaq xas xak xbh0 xaq xar xas
aardkunde	xaa1 xaq xas xak xbr0 xan xac xbj0
aardlaag	xaa1 xaq xas xal xaa0 xax
aardluis	xaa1 xaq xas xal xbe0 xba xar
aardmagnetisch	xaa1 xaq xas xam xbg0 xax xan xad0 xas xag0 xar
aardmagnetisme	xaa1 xaq xas xam xbg0 xax xan xad0 xas xbo0 xar xam xbj0
aardmantel	xaa1 xaq xas xam xbg0 xan xas xbj0 xal
aardmuis	xaa1 xaq xas xam xbe0 xba xar
aardnoot	xaa1 xaq xas xan xao0 xas
aardolie	xaa1 xaq xac xao0 xal xag0
aardoppervlak	xaa1 xaq xas xbh0 xap xbj0 xaq xaw xal xbg0 xak
aardoppervlakte	xaa1 xaq xas xbh0 xap xbj0 xaq xaw xal xbg0 xak xas xbj0
aardpeer	xaa1 xaq xas xap xad0 xaq
aardpek	xaa1 xaq xas xap xbk0 xak
aardrijk	xaa1 xaq xas xaq xbk0 xai xak
aardrijksbeschrijving	xaa1 xaq xas xaq xbk0 xai xak xar xab xbj0 xar xax xaq xbk0 xai xaw xbo0 xbd
aardrijkskunde	xaa1 xaq xac xaq xbk0 xai xak xar xak xbr0 xan xac xbj0
aardrijkskundeleraar	xaa1 xaq xac xaq xbk0 xai xak xar xak xbr0 xan xac xbj0 xal xad0 xaq xaa0 xaq
aardrijkskundelerares	xaa1 xaq xac xaq xbk0 xai xak xar xak xbr0 xan xac xbj0 xal xad0 xaq xaa0 xaq xbk0 xar
aardrijkskundeles	xaa1 xaq xac xaq xbk0 xai xak xar xak xbr0 xan xac xbj0 xal xbk0 xar
aardrijkskundelessen	xaa1 xaq xac xaq xbk0 xai xak xar xak xbr0 xan xac xbj0 xal xbk0 xar xbj0 xan
aardrijkskundig	xaa1 xaq xac xaq xbk0 xai xak xar xak xbr0 xan xac xbj0 xax
aards	xaa1 xaq xas xar
aardsatelliet	xaa1 xaq xas xar xaa0 xas xbj0 xal xag0 xas
aardschok	xaa1 xaq xas xar xax xbh0 xak
aardsgezind	xaa1 xaq xas xar xax xbj0 xbb xbo0 xan xas
aardslak	xaa1 xaq xas xar xal xbg0 xak
aardslang	xaa1 xaq xas xar xal xbg0 xbd
aardvarken	xaa1 xaq xas xae xbg0 xaq xak xbj0 xan
aardveil	xaa1 xaq xas xae xbk0 xai xal
aardverschuiving	xaa1 xaq xas xaw xbj0 xaq xar xax xbe0 xba xaw xbo0 xbd
aardvlo	xaa1 xaq xas xaw xal xao0
aardvrucht	xaa1 xaq xas xae xaq xbr0 xax xas
aardwarmte	xaa1 xaq xas xbq xbg0 xaq xam xas xbj0
aardwolf	xaa1 xaq xas xbq xbh0 xal xae
aardworm	xaa1 xaq xas xbq xbh0 xaq xam
aardzwaluw	xaa1 xaq xas xar xbq xaa0 xal xay0 xav
aars	xaa1 xaq xar
aarsdarm	xaa1 xaq xar xac xbg0 xaq xam
aarsgewei	xaa1 xaq xar xax xbj0 xbq xbk0 xai
aarsmade	xaa1 xaq xar xam xaa0 xac xbj0
aarsvoet	xaa1 xaq xar xae xat0 xas
aarswis	xaa1 xaq xar xbq xbo0 xar
aartsabt	xaa1 xaq xas xar xbg0 xap xas
aartsbisdom	xaa1 xaq xas xar xab xbo0 xar xac xbh0 xam
aartsbisschop	xaa1 xaq xas xar xab xbo0 xar xax xbh0 xap
aartsengel	xaa1 xaq xas xar xbk0 xbd xbj0 xal
aartshertog	xaa1 xaq xas xar xaf xbk0 xaq xas xbh0 xax
aartshertogdom	xaa1 xaq xas xar xaf xbk0 xaq xas xbh0 xax xac xbh0 xam
aartshertogin	xaa1 xaq xas xar xaf xbk0 xaq xas xao0 xbn xbo0 xan
aartskanselier	xaa1 xaq xas xar xak xbg0 xan xar xbj0 xal xah0 xaq
aartslui	xaa1 xaq xas xar xal xbe0 xba
aartsmoeder	xaa1 xaq xas xar xam xat0 xac xbj0 xaq
aartspriester	xaa1 xaq xas xar xap xaq xag0 xar xas xbj0 xaq
aartsvader	xaa1 xaq xas xar xae xaa0 xac xbj0 xaq
aartsvaderlijk	xaa1 xaq xas xar xae xaa0 xac xbj0 xaq xal xbj0 xak
aartsvijand	xaa1 xaq xas xar xae xbk0 xai xbg0 xan xas
aarzelen	xaa1 xaq xbb xbj0 xal xbj0 xan
aarzeling	xaa1 xaq xbb xbj0 xal xbo0 xbd
aas	xaa1 xar
aasdier	xaa1 xar xac xah0 xaq
aasetend	xaa1 xar xad0 xas xbj0 xan xas
aaseter	xaa1 xar xad0 xas xbj0 xaq
aasgewicht	xaa1 xar xax xbj0 xbq xbo0 xax xas
aasgier	xaa1 xar xax xah0 xaq
aasvlieg	xaa1 xar xae xal xag0 xax
aasvogel	xaa1 xar xae xao0 xbn xbj0 xal
aasvretend	xaa1 xar xae xaq xad0 xas xbj0 xan xas
aasworm	xaa1 xar xbq xbh0 xaq xam
abacterieel	xaa1 xab xbg0 xak xas xad0 xaq xag0 xad0 xal
abacus	xbg1 xab xaa0 xak xbr0 xar
abattoir	xaa1 xab xaa0 xas xbq xaa0 xaq
abbatiaal	xbg1 xab xaa0 xas xbp xaa0 xal
abc	xaa1 xab xad0 xar xad0
abces	xbg1 xap xar xbk0 xar
abdicatie	xbg1 xab xac xag0 xak xaa0 xas xar xag0
abdiceren	xbg1 xap xac xag0 xar xad0 xaq xbj0 xan
abdij	xbg1 xab xac xbk0 xai
abdijbier	xbg1 xap xac xbk0 xai xab xag0 xaq
abdijkerk	xbg1 xap xac xbk0 xai xak xbk0 xaq xak
abdis	xbg1 xab xac xbo0 xar
abduceren	xbg1 xap xac xbr0 xar xad0 xaq xbj0 xan
abductie	xbg1 xap xac xbr0 xak xar xag0
abeel	xaa1 xab xad0 xal
abel	xaa1 xab xbj0 xal
abiogenese	xaa1 xab xag0 xao0 xbn xad0 xan xad0 xbb xbj0
abject	xbg1 xab xaj xbk0 xak xas
ablatief	xbg1 xab xal xaa0 xas xag0 xae
ablativus	xbg1 xab xal xaa0 xas xag0 xaw xbr0 xar
ablutie	xbg1 xap xal xay0 xas xar xag0
abnormaal	xbg1 xab xan xbh0 xaq xam xaa0 xal
abnormaliteit	xbg1 xap xan xbh0 xaq xam xaa0 xal xag0 xas xbk0 xai xas
abo	xaa1 xab xao0
abolitie	xbg1 xab xao0 xal xag0 xas xar xag0
abominabel	xaa1 xab xao0 xam xag0 xan xaa0 xab xbj0 xal
abonnee	xbg1 xab xbh0 xan xad0
abonnement	xbg1 xab xbh0 xan xbj0 xam xbk0 xan xas
abonneren	xbg1 xab xbh0 xan xad0 xaq xbj0 xan
aborderen	xaa1 xab xbh0 xaq xac xad0 xaq xbj0 xan
aborteren	xaa1 xab xbh0 xaq xas xad0 xaq xbj0 xan
abortie	xaa1 xab xbh0 xaq xas xar xag0
abortorium	xaa1 xab xbh0 xaq xas xao0 xaq xag0 xbr0 xam
abortus	xaa1 xab xbh0 xaq xas xbr0 xar
abortuskliniek	xaa1 xab xbh0 xaq xas xbr0 xar xak xal xag0 xan xag0 xak
abortustoerisme	xaa1 xab xbh0 xaq xas xbr0 xar xas xat0 xaq xbo0 xar xam xbj0
abortustoerist	xaa1 xab xbh0 xaq xas xbr0 xar xas xat0 xaq xbo0 xar xas
abracadabra	xaa1 xab xaq xaa0 xak xaa0 xac xaa0 xab xaq xaa0
